Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Besantnagar S.O-Daksevak-OBC",30191346,"Daksevak",,"Besantnagar S.O","Chennai City South Division"
2,"Injambakkam S.O-Daksevak-UR",30191156,"Daksevak",,"Injambakkam S.O","Chennai City South Division"
3,"Karapakkam S.O-Daksevak-UR",30191162,"Daksevak",,"Karapakkam S.O","Chennai City South Division"
4,"Oggiamthoraipakkam S.O-Daksevak-UR",30762508,"Daksevak",,"Oggiamthoraipakkam S.O","Chennai City South Division"
5,"Palavakkam S.O-Daksevak-OBC",30604805,"Daksevak",,"Palavakkam S.O","Chennai City South Division"
6,"Sholinganallur S.O-Daksevak-OBC",30182572,"Daksevak",,"Sholinganallur S.O","Chennai City South Division"
7,"St Thomas Mount HO-Daksevak-UR",30604419,"Daksevak",,"St Thomas Mount HO","Chennai City South Division"
8,"Velacheri S.O-Daksevak-UR",30762533,"Daksevak",,"Velacheri S.O","Chennai City South Division"
