Sl. No.,Post Name,Post ID,Designation,Level,Office Name,Division
1,"Amaram B.O-BPM-UR",30147044,"BPM",,"Amaram B.O","Salem West Division"
2,"Attanur S.O-Daksevak-UR",30222770,"Daksevak",,"Attanur S.O","Salem West Division"
3,"Ayilpatti B.O-ABPM-UR",30149206,"ABPM",,"Ayilpatti B.O","Salem West Division"
4,"Ayyamperumalpatti B.O-BPM-OBC",30149083,"BPM",,"Ayyamperumalpatti B.O","Salem West Division"
5,"Chettipatti B.O-ABPM-UR",30158639,"ABPM",,"Chettipatti B.O","Salem West Division"
6,"Deevattipatti B.O-ABPM-UR",30149025,"ABPM",,"Deevattipatti B.O","Salem West Division"
7,"Elampillai S.O-Daksevak-OBC",30149237,"Daksevak",,"Elampillai S.O","Salem West Division"
8,"Guttapatti B.O-ABPM-UR",30146872,"ABPM",,"Guttapatti B.O","Salem West Division"
9,"Iswaramurtipalayam B.O-ABPM-OBC",30160115,"ABPM",,"Iswaramurtipalayam B.O","Salem West Division"
10,"Jalakantapuram S.O-Daksevak-UR",30147052,"Daksevak",,"Jalakantapuram S.O","Salem West Division"
11,"Kanavaipudur B.O-ABPM-OBC",30146957,"ABPM",,"Kanavaipudur B.O","Salem West Division"
12,"Kandarkulamanickam B.O-BPM-OBC",30149163,"BPM",,"Kandarkulamanickam B.O","Salem West Division"
13,"Madayankuttai S.O-Daksevak-UR",30148887,"Daksevak",,"Madayankuttai S.O","Salem West Division"
14,"Mallikundam S.O-Daksevak-OBC",30147019,"Daksevak",,"Mallikundam S.O","Salem West Division"
15,"Moolapallipatti B.O-ABPM-OBC",30160113,"ABPM",,"Moolapallipatti B.O","Salem West Division"
16,"Muthunaickenpatti S.O-Daksevak-UR",30149116,"Daksevak",,"Muthunaickenpatti S.O","Salem West Division"
17,"Nallagoundampatti B.O-ABPM-OBC",30225232,"ABPM",,"Nallagoundampatti B.O","Salem West Division"
18,"Namagiripettai S.O-Daksevak-UR",30149179,"Daksevak",,"Namagiripettai S.O","Salem West Division"
19,"Navapatti B.O-ABPM-OBC",30146890,"ABPM",,"Navapatti B.O","Salem West Division"
20,"Pannapatti S.O-Daksevak-UR",30149097,"Daksevak",,"Pannapatti S.O","Salem West Division"
21,"Rasipuram S.O-Daksevak-UR",30149219,"Daksevak",,"Rasipuram S.O","Salem West Division"
22,"Salem Steel Plant S.O-Daksevak-UR",30149032,"Daksevak",,"Salem Steel Plant S.O","Salem West Division"
23,"Sarkar Kollapatti B.O-BPM-UR",30149038,"BPM",,"Sarkar Kollapatti B.O","Salem West Division"
24,"Sikkanampatti B.O-ABPM-UR",30149095,"ABPM",,"Sikkanampatti B.O","Salem West Division"
25,"Singalandapuram S.O-Daksevak-UR",30149216,"Daksevak",,"Singalandapuram S.O","Salem West Division"
26,"Sinnappampatti S.O-Daksevak-UR",30147053,"Daksevak",,"Sinnappampatti S.O","Salem West Division"
27,"Sivadapuram S.O-Daksevak-UR",30149055,"Daksevak",,"Sivadapuram S.O","Salem West Division"
28,"Thettigiripatti B.O-ABPM-UR",30146892,"ABPM",,"Thettigiripatti B.O","Salem West Division"
29,"Thinnappatti B.O-ABPM-UR",30149104,"ABPM",,"Thinnappatti B.O","Salem West Division"
30,"Thumbipadi B.O-ABPM-OBC",30149106,"ABPM",,"Thumbipadi B.O","Salem West Division"
31,"Tirumanur B.O-ABPM-UR",30149189,"ABPM",,"Tirumanur B.O","Salem West Division"
32,"Vadugam B.O-BPM-UR",30158636,"BPM",,"Vadugam B.O","Salem West Division"
33,"V.Kongarapatti B.O-ABPM-OBC",30149030,"ABPM",,"V.Kongarapatti B.O","Salem West Division"
